articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
e편한세상송도,아파트,매매,중/39,"5억 5,000",95A,70,101동,http://land.mk.co.kr/rd/rd.php?UID=2237610389
e편한세상송도,아파트,월세,중/35,1억,95A,70,105동,http://rego.kr/rd/rd.asp?UID=2237607887
e편한세상송도,아파트,월세,저/39,1억,95A,70,101동,http://land.mk.co.kr/rd/rd.php?UID=2237522711
e편한세상송도,아파트,매매,고/39,"7억 2,000",95A,70,113동,https://realestate.hankyung.com/naver-listing?UID=2237489728
e편한세상송도,아파트,매매,고/39,"8억 5,000",114A,84,111동,http://land.mk.co.kr/rd/rd.php?UID=2237553140
e편한세상송도,아파트,매매,고/38,"5억 5,000",95A,70,103동,http://rego.kr/rd/rd.asp?UID=2237600194
e편한세상송도,아파트,전세,고/38,"2억 8,000",95B,70,106동,http://rego.kr/rd/rd.asp?UID=2237590164
e편한세상송도,아파트,매매,중/38,"5억 4,000",95B-1,70,106동,http://land.mk.co.kr/rd/rd.php?UID=2237605519
e편한세상송도,아파트,매매,중/39,"6억 2,000",95A,70,101동,http://rego.kr/rd/rd.asp?UID=2237532761
e편한세상송도,아파트,월세,중/38,"3,000",95A,70,106동,http://rego.kr/rd/rd.asp?UID=2237483671
e편한세상송도,아파트,전세,저/38,"2억 5,000",95A,70,106동,http://rego.kr/rd/rd.asp?UID=2237462794
e편한세상송도,아파트,매매,27/39,"8억 8,000",114A,84,111동,http://land.mk.co.kr/rd/rd.php?UID=2236552263
e편한세상송도,아파트,매매,2/37,"6억 9,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2236494982
e편한세상송도,아파트,매매,9/38,"5억 4,000",95B,70,103동,http://www.serve.co.kr/naver/rd.asp?UID=2236309579
e편한세상송도,아파트,매매,5/39,"5억 4,000",95B-1,70,114동,http://www.serve.co.kr/naver/rd.asp?UID=2236705983
e편한세상송도,아파트,전세,25/38,"2억 6,000",95B,70,102동,http://www.serve.co.kr/naver/rd.asp?UID=2236694145
e편한세상송도,아파트,전세,3/37,3억,114A,84,110동,http://www.serve.co.kr/naver/rd.asp?UID=2236700283
e편한세상송도,아파트,월세,38/39,"9,000",95B-1,70,101동,http://rego.kr/rd/rd.asp?UID=2236497948
e편한세상송도,아파트,매매,24/37,"5억 4,000",95B,70,104동,http://rter2.com/naver/rd?UID=2236699415
e편한세상송도,아파트,월세,25/38,"1억 8,000",95B,70,102동,http://www.serve.co.kr/naver/rd.asp?UID=2236695607
e편한세상송도,아파트,매매,9/39,"6억 9,000",114A,84,112동,http://land.mk.co.kr/rd/rd.php?UID=2236418789
e편한세상송도,아파트,매매,저/39,"6억 1,000",114A,84,111동,http://land.mk.co.kr/rd/rd.php?UID=2237444276
e편한세상송도,아파트,전세,중/38,"2억 5,000",95A,70,103동,http://rego.kr/rd/rd.asp?UID=2237379321
e편한세상송도,아파트,전세,중/38,"2억 6,000",95B-1,70,106동,http://land.mk.co.kr/rd/rd.php?UID=2237442216
e편한세상송도,아파트,매매,고/38,"6억 2,000",95A,70,103동,http://rego.kr/rd/rd.asp?UID=2237420162
e편한세상송도,아파트,전세,저/37,3억,114A,84,110동,http://homesdid.co.kr/rd.asp?UID=2237444021
e편한세상송도,아파트,전세,고/38,"2억 5,000",95A,70,103동,http://rego.kr/rd/rd.asp?UID=2237420641
e편한세상송도,아파트,월세,고/39,"5,000",95B,70,114동,https://realestate.hankyung.com/naver-listing?UID=2237614518
e편한세상송도,아파트,전세,저/38,"2억 4,000",95A,70,106동,http://rego.kr/rd/rd.asp?UID=2237398665
e편한세상송도,아파트,전세,중/39,"3억 2,000",114A,84,111동,http://rego.kr/rd/rd.asp?UID=2237293334
e편한세상송도,아파트,매매,고/37,"5억 3,000",95A,70,104동,http://rego.kr/rd/rd.asp?UID=2237376353
e편한세상송도,아파트,전세,중/39,"2억 6,000",113B,84,112동,http://rego.kr/rd/rd.asp?UID=2237297567
e편한세상송도,아파트,전세,저/39,"2억 8,000",95A,70,101동,http://rego.kr/rd/rd.asp?UID=2237289181
e편한세상송도,아파트,전세,고/39,"2억 5,000",95A,70,114동,http://land.mk.co.kr/rd/rd.php?UID=2237375663
