articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
e편한세상송도,아파트,매매,2/37,7억,114A,84,110동,http://rego.kr/rd/rd.asp?UID=2235649744
e편한세상송도,아파트,매매,30/39,"7억 1,000",114A,84,107동,http://www.serve.co.kr/naver/rd.asp?UID=2235447117
e편한세상송도,아파트,매매,9/39,"6억 9,000",114A,84,112동,http://rego.kr/rd/rd.asp?UID=2235613779
e편한세상송도,아파트,월세,33/35,2억,95A,70,105동,http://homesdid.co.kr/rd.asp?UID=2235586089
e편한세상송도,아파트,매매,39/39,6억,95B,70,115동,http://rego.kr/rd/rd.asp?UID=2235643556
e편한세상송도,아파트,매매,32/38,"5억 5,000",95A,70,103동,http://www.serve.co.kr/naver/rd.asp?UID=2235299791
e편한세상송도,아파트,매매,5/39,"5억 4,000",95B-1,70,114동,http://rter2.com/naver/rd?UID=2235487077
e편한세상송도,아파트,월세,38/39,"2,000",95B-1,70,101동,http://rego.kr/rd/rd.asp?UID=2235595163
e편한세상송도,아파트,전세,2/37,"3억 5,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2235649914
e편한세상송도,아파트,전세,33/35,"2억 5,000",95A,70,105동,http://www.serve.co.kr/naver/rd.asp?UID=2235646393
e편한세상송도,아파트,매매,4/39,"6억 5,000",114A,84,111동,http://www.serve.co.kr/naver/rd.asp?UID=2235524512
e편한세상송도,아파트,단기임대,7/39,"2,000",95B-1,70,115동,http://land.mk.co.kr/rd/rd.php?UID=2235438132
e편한세상송도,아파트,전세,35/38,"2억 8,000",95A,70,106동,https://realestate.hankyung.com/naver-listing?UID=2235654105
e편한세상송도,아파트,월세,7/39,"2,000",95B-1,70,115동,http://www.serve.co.kr/naver/rd.asp?UID=2235528673
e편한세상송도,아파트,전세,2/39,3억,114A,84,111동,http://land.mk.co.kr/rd/rd.php?UID=2235261113
